981,238,1232,485,0,1118,318
1429,1010,1722,1087,0,1565,1034
1129,481,1415,772,0,1284,554
128,44,169,56,1,149,50
113,89,129,136,1,120,112
97,258,111,314,1,104,286
436,233,460,284,1,447,258
467,139,486,173,1,476,156
222,486,259,508,1,240,497
131,529,172,559,1,152,544
157,1058,192,1067,1,174,1062
485,643,495,676,1,490,659
588,597,632,607,1,610,602
708,634,738,646,1,723,640
711,797,751,816,1,731,806
937,917,985,937,1,961,927
1109,730,1166,744,1,1138,737
1529,290,1557,322,1,1543,306
1503,353,1512,391,1,1507,372
1545,334,1555,367,1,1550,350
1699,454,1722,492,1,1710,472
1736,693,1775,745,1,1755,719
1744,750,1785,761,1,1764,756
1831,1030,1845,1071,1,1838,1050
