1874,971,1919,1012,1,1896,992
1630,921,1667,957,1,1648,939
864,868,931,931,1,898,900
1690,613,1723,652,1,1706,633
1203,584,1288,670,1,1245,627
845,582,880,626,1,862,604
1210,575,1236,599,1,1223,587
1437,562,1471,610,1,1454,586
704,464,758,532,1,731,498
819,362,854,394,1,836,378
997,361,1049,416,1,1023,388
884,347,925,412,1,904,380
690,267,726,313,1,708,290
823,126,873,168,1,848,146
1811,66,1848,123,1,1830,94
1063,836,1210,1088,1,1164,1071
1418,922,1616,1088,1,1452,1076
651,951,693,1088,1,664,1071
847,1046,892,1088,1,869,1067
227,1075,395,1088,1,311,1082
1311,46,1363,78,1,1337,62
