0,190,134,435,0,1,348
36,700,65,745,1,51,722
159,764,183,789,1,171,777
381,707,447,787,1,402,747
446,738,467,764,1,456,751
706,812,747,856,1,727,834
747,741,766,761,1,756,751
913,807,932,831,1,922,819
862,586,904,627,1,883,606
1057,543,1083,595,1,1070,569
1619,494,1655,531,1,1632,518
1845,321,1882,381,1,1860,356
1771,307,1788,330,1,1777,326
1812,770,1824,793,1,1818,782
1752,463,1919,773,0,1871,637
1348,381,1631,665,0,1507,564
835,348,1126,613,0,992,493
306,995,332,1007,1,319,1001
