830,999,850,1013,255,840,1006
753,990,768,1009,255,760,999
775,986,793,999,255,784,993
20,923,31,936,255,25,929
1104,758,1118,767,255,1111,763
459,752,802,1020,10,653,915
403,749,418,757,255,411,753
0,741,51,991,10,0,904
1357,736,1540,999,10,1481,895
708,723,717,730,255,712,727
794,720,806,733,255,800,727
1531,712,1872,1017,10,1658,891
644,676,657,683,255,650,680
846,672,1180,1088,10,1027,909
257,445,269,456,255,263,451
66,404,82,416,255,74,410
448,365,457,376,255,452,370
30,136,196,289,10,163,267
891,94,1156,241,10,1033,228
339,78,568,308,10,497,264
583,76,848,360,10,744,287
1755,47,1920,283,10,1866,218
1126,24,1422,286,10,1271,228
1495,6,1781,261,10,1603,216
