8,105,40,125,69,24,115
3,138,9,172,255,6,155
154,268,179,277,255,167,273
180,335,203,352,69,192,344
404,337,423,346,255,413,342
668,133,684,149,69,676,141
800,273,818,305,27,809,289
933,335,946,343,255,939,339
1022,320,1035,338,255,1028,329
1012,157,1028,175,69,1020,166
1190,230,1244,251,69,1217,240
1323,337,1345,356,69,1334,346
139,885,165,931,69,152,908
224,780,238,808,69,231,794
262,894,300,945,89,281,919
322,960,366,1000,69,344,980
397,812,407,854,69,402,833
559,583,595,600,69,577,591
673,670,682,732,69,677,701
668,888,703,919,69,686,903
912,705,947,723,69,930,714
965,715,973,738,255,969,726
1300,769,1349,776,69,1324,773
1385,636,1405,644,255,1395,640
1348,589,1383,600,69,1365,595
1571,637,1603,649,69,1587,643
1560,711,1587,730,69,1574,720
1493,753,1519,763,69,1506,758
1425,718,1433,746,255,1429,732
1408,733,1446,766,69,1427,750
1531,1060,1541,1079,255,1536,1069
1652,1068,1667,1073,255,1660,1070
863,458,946,547,27,913,490
958,842,1038,918,27,1020,867
22,455,51,481,69,36,468
51,427,70,453,69,66,446
376,513,388,537,255,382,525
439,447,482,463,69,461,455
679,393,701,401,255,690,397
950,222,960,250,69,955,235
1018,251,1043,261,255,1030,256
459,781,479,809,69,472,783
861,1016,868,1039,255,864,1027
1759,1029,1775,1043,255,1766,1036
1507,1,1532,21,69,1518,15
1903,204,1919,224,69,1913,215
1044,445,1063,460,69,1054,452
