1096,578,1138,622,70,1117,600
1302,557,1440,696,70,1371,626
1153,538,1176,559,70,1165,548
1366,535,1433,582,70,1400,559
909,526,992,565,70,972,550
1017,501,1117,615,9,1074,537
1114,465,1143,503,70,1128,484
636,460,654,474,255,645,467
685,427,731,476,70,725,467
610,368,688,461,9,648,415
312,345,331,360,70,321,352
214,313,282,367,70,248,340
363,311,372,329,255,368,320
1232,72,1249,91,42,1240,81
341,364,355,377,255,348,371
689,328,719,378,70,704,353
1551,664,1579,687,70,1576,682
1439,612,1495,657,70,1470,651
1640,676,1681,698,70,1647,686
1662,662,1676,672,255,1669,667
1768,693,1780,707,255,1774,700
46,213,110,262,70,91,246
