902,468,1068,646,0,1000,628
308,68,350,89,1,332,84
611,80,648,106,1,629,93
758,272,766,311,1,762,292
906,361,941,393,1,924,377
552,343,584,369,1,568,356
344,428,362,470,1,350,458
194,544,213,585,1,209,558
633,420,661,454,1,647,437
663,418,709,449,1,695,435
1248,891,1278,901,1,1264,899
232,806,260,842,1,244,821
1434,87,1448,124,1,1438,110
1593,252,1614,298,1,1596,282
1162,95,1209,132,1,1182,126
117,532,127,560,1,122,546
149,1014,206,1025,1,178,1019
108,1041,125,1080,1,116,1061
401,132,420,157,1,410,144
547,528,580,547,1,563,537
333,333,359,342,255,346,338
324,162,346,169,255,335,166
689,73,696,97,255,692,85
1349,896,1368,922,255,1358,909
1850,487,1884,509,255,1867,498
1054,482,1067,492,255,1060,487
